Ticker,Date,Closing Price,Price + All Divs Received (No DRIP)
ESK,2021-04-06,2.33,2.33
ESK,2021-04-07,2.24,2.24
ESK,2021-04-08,2.21,2.21
ESK,2021-04-09,2.18,2.18
ESK,2021-04-12,2.06,2.06
ESK,2021-04-13,2.15,2.15
ESK,2021-04-14,2.15,2.15
ESK,2021-04-15,2.23,2.23
ESK,2021-04-16,2.22,2.22
ESK,2021-04-19,2.18,2.18
ESK,2021-04-20,2.18,2.18
ESK,2021-04-21,2.2,2.2
ESK,2021-04-22,2.2,2.2
ESK,2021-04-23,2.25,2.25
ESK,2021-04-26,2.2,2.2
ESK,2021-04-27,2.17,2.17
ESK,2021-04-28,2.22,2.22
ESK,2021-04-29,2.12,2.12
ESK,2021-04-30,2.13,2.13
ESK,2021-05-03,2.04,2.04
ESK,2021-05-04,2,2
ESK,2021-05-05,1.96,1.96
ESK,2021-05-06,1.96,1.96
ESK,2021-05-07,1.97,1.97
ESK,2021-05-10,2.35,2.35
ESK,2021-05-11,2.28,2.28
ESK,2021-05-12,2.19,2.19
ESK,2021-05-13,2.1,2.1
ESK,2021-05-14,2.12,2.12
ESK,2021-05-17,2.42,2.42
ESK,2021-05-18,2.33,2.33
ESK,2021-05-19,2.38,2.38
ESK,2021-05-20,2.38,2.38
ESK,2021-05-21,2.58,2.58
ESK,2021-05-25,2.82,2.82
ESK,2021-05-26,2.75,2.75
ESK,2021-05-27,2.76,2.76
ESK,2021-05-28,2.77,2.77
ESK,2021-05-31,2.77,2.77
ESK,2021-06-01,2.7,2.7
ESK,2021-06-02,2.67,2.67
ESK,2021-06-03,2.58,2.58
ESK,2021-06-04,2.58,2.58
ESK,2021-06-07,2.45,2.45
ESK,2021-06-08,2.49,2.49
ESK,2021-06-09,2.47,2.47
ESK,2021-06-10,2.47,2.47
ESK,2021-06-11,2.52,2.52
ESK,2021-06-14,2.47,2.47
ESK,2021-06-15,2.52,2.52
ESK,2021-06-16,2.43,2.43
ESK,2021-06-17,2.21,2.21
ESK,2021-06-18,2.31,2.31
ESK,2021-06-21,2.23,2.23
ESK,2021-06-22,2.25,2.25
ESK,2021-06-23,2.23,2.23
ESK,2021-06-24,2.3,2.3
ESK,2021-06-25,2.3,2.3
ESK,2021-06-28,2.49,2.49
ESK,2021-06-29,2.58,2.58
ESK,2021-06-30,2.81,2.81
ESK,2021-07-05,2.7,2.7
ESK,2021-07-06,2.5,2.5
ESK,2021-07-07,2.37,2.37
ESK,2021-07-08,2.33,2.33
ESK,2021-07-09,2.37,2.37
ESK,2021-07-12,2.42,2.42
ESK,2021-07-13,2.65,2.65
ESK,2021-07-14,2.65,2.65
ESK,2021-07-15,2.69,2.69
ESK,2021-07-16,2.72,2.72
ESK,2021-07-19,2.61,2.61
ESK,2021-07-20,2.54,2.54
ESK,2021-07-21,2.54,2.54
ESK,2021-07-22,2.55,2.55
ESK,2021-07-23,2.53,2.53
ESK,2021-07-26,2.55,2.55
ESK,2021-07-27,2.57,2.57
ESK,2021-07-28,2.6,2.6
ESK,2021-07-29,2.64,2.64
ESK,2021-07-30,2.67,2.67
ESK,2021-08-03,2.59,2.59
ESK,2021-08-04,2.54,2.54
ESK,2021-08-05,2.51,2.51
ESK,2021-08-06,2.42,2.42
ESK,2021-08-09,2.35,2.35
ESK,2021-08-10,2.41,2.41
ESK,2021-08-11,2.39,2.39
ESK,2021-08-12,2.34,2.34
ESK,2021-08-13,2.32,2.32
ESK,2021-08-16,2.25,2.25
ESK,2021-08-17,2.26,2.26
ESK,2021-08-18,2.17,2.17
ESK,2021-08-19,2.08,2.08
ESK,2021-08-20,2.12,2.12
ESK,2021-08-23,2.21,2.21
ESK,2021-08-24,2.22,2.22
ESK,2021-08-25,2.2,2.2
ESK,2021-08-26,2.26,2.26
ESK,2021-08-27,2.28,2.28
ESK,2021-08-30,2.4,2.4
ESK,2021-08-31,2.4,2.4
ESK,2021-09-01,2.39,2.39
ESK,2021-09-02,2.32,2.32
ESK,2021-09-03,2.41,2.41
ESK,2021-09-07,2.35,2.35
ESK,2021-09-08,2.34,2.34
ESK,2021-09-09,2.24,2.24
ESK,2021-09-10,2.09,2.09
ESK,2021-09-13,2.15,2.15
ESK,2021-09-14,2.06,2.06
ESK,2021-09-15,2.12,2.12
ESK,2021-09-16,2.19,2.19
ESK,2021-09-17,2.12,2.12
ESK,2021-09-20,2.12,2.12
ESK,2021-09-21,2.16,2.16
ESK,2021-09-22,2.11,2.11
ESK,2021-09-23,2.14,2.14
ESK,2021-09-24,2.17,2.17
ESK,2021-09-27,2.29,2.29
ESK,2021-09-28,2.23,2.23
ESK,2021-09-29,2.09,2.09
ESK,2021-09-30,2.16,2.16
ESK,2021-10-01,2.14,2.14
ESK,2021-10-04,2.07,2.07
ESK,2021-10-05,2.12,2.12
ESK,2021-10-06,2.14,2.14
ESK,2021-10-07,2.21,2.21
ESK,2021-10-08,2.16,2.16
ESK,2021-10-12,2.1,2.1
ESK,2021-10-13,2.18,2.18
ESK,2021-10-14,2.41,2.41
ESK,2021-10-15,2.4,2.4
ESK,2021-10-18,2.33,2.33
ESK,2021-10-19,2.41,2.41
ESK,2021-10-20,2.37,2.37
ESK,2021-10-21,2.32,2.32
ESK,2021-10-22,2.31,2.31
ESK,2021-10-25,2.23,2.23
ESK,2021-10-26,2.17,2.17
ESK,2021-10-27,2.16,2.16
ESK,2021-10-28,2.19,2.19
ESK,2021-10-29,2.14,2.14
ESK,2021-11-01,2.14,2.14
ESK,2021-11-02,2.09,2.09
ESK,2021-11-03,2.09,2.09
ESK,2021-11-04,2.08,2.08
ESK,2021-11-05,2.13,2.13
ESK,2021-11-08,2.38,2.38
ESK,2021-11-09,2.75,2.75
ESK,2021-11-10,2.82,2.82
ESK,2021-11-11,3,3
ESK,2021-11-12,3.28,3.28
ESK,2021-11-15,3.45,3.45
ESK,2021-11-16,3.28,3.28
ESK,2021-11-17,3.45,3.45
ESK,2021-11-18,3.26,3.26
ESK,2021-11-19,3.19,3.19
ESK,2021-11-22,3.27,3.27
ESK,2021-11-23,3.17,3.17
ESK,2021-11-24,3.18,3.18
ESK,2021-11-25,3.13,3.13
ESK,2021-11-26,3.13,3.13
ESK,2021-11-29,3.02,3.02
ESK,2021-11-30,3,3
ESK,2021-12-01,2.67,2.67
ESK,2021-12-02,2.65,2.65
ESK,2021-12-03,2.9,2.9
ESK,2021-12-06,2.78,2.78
ESK,2021-12-07,2.83,2.83
ESK,2021-12-08,2.53,2.53
ESK,2021-12-09,2.55,2.55
ESK,2021-12-10,2.48,2.48
ESK,2021-12-13,2.43,2.43
ESK,2021-12-14,2.41,2.41
ESK,2021-12-15,2.47,2.47
ESK,2021-12-16,2.55,2.55
ESK,2021-12-17,2.6,2.6
ESK,2021-12-20,2.57,2.57
ESK,2021-12-21,2.65,2.65
ESK,2021-12-22,2.81,2.81
ESK,2021-12-23,2.77,2.77
ESK,2021-12-24,2.75,2.75
ESK,2021-12-29,2.76,2.76
ESK,2021-12-30,2.73,2.73
ESK,2021-12-31,2.77,2.77
ESK,2022-01-04,2.78,2.78
ESK,2022-01-05,2.62,2.62
